Affenpinscher,Toy,1000,37,147
Afghan Hound,Sporting,2250,79,93
Airedale Terrier,Terrier,700,29,55
Akita,Working,1000,54,47
Alaskan Malamute,Working,1350,50,59
American Staffordshire Terrier,Terrier,900,34,83
American Water Spaniel,Sporting,900,44,167
Australian Cattle Dog/Blue Heeler,Herding,600,10,56
Australian Shepherd,Terrier,700,42,17
Australian Terrier,Terrier,1250,34,137
Basenji,Hound,1100,78,84
Basset Hound,Hound,400,71,39
Beagle,Hound,650,72,6
Bearded Collie,Herding,1300,34,125
Bedlington Terrier,Terrier,1900,40,151
Belgian Shepherd Dog Sheepdog,Herding,1300,15,120
Belgian Shepherd Tervuren,Herding,1350,14,103
Bernese Mountain Dog,Working,900,22,25
Bichon Frise,Non Sporting,850,45,46
Black and Tan Coonhound,Hound,350,44,130
Black Labrador Retriever,Sporting,1500,7,1
Bloodhound,Hound,1000,74,50
Border Collie,Herding,700,1,38
Border Terrier,Terrier,1300,30,92
Borzoi,Hound,1100,75,102
Boston Terrier,Non Sporting,750,54,21
Bouvier des Flanders,Herding,1750,29,85
Boxer,Working,900,49,11
Briard,Herding,1100,30,127
Brittany Spaniel,Sporting,750,19,26
Bull Terrier,Terrier,1350,66,60
Bullmastiff,Working,1350,69,51
Cairn Terrier,Terrier,850,35,69
Cattle Dog,Herding,600,10,56
Cavalier King Charles Spaniel,Toy,1350,44,19
Chesapeake Bay Retriever,Sporting,800,27,43
Chihuahua,Toy,700,67,32
Chinese Crested Dog,Toy,900,61,79
Chocolate Labrador Retriever,Sporting,1500,7,1
Chow Chow,Non Sporting,700,76,76
Clumber Spaniel,Sporting,1000,37,140
Cocker Spaniel,Sporting,700,20,29
Collie,Herding,500,16,40
Coonhound,Hound,350,44,130
Corgi,Herding,1100,26,68
Curly-Coated Retriever,Sporting,700,41,171
Dachshund,Hound,600,49,13
Dalmatian,Non Sporting,800,39,63
Dandi Dinmont Terrier,Terrier,1500,62,182
Doberman Pinscher,Working,900,5,16
English Bulldog,Non Sporting,1600,77,5
English Cocker Spaniel,Sporting,1050,18,52
English Pointer,Sporting,450,43,113
English Setter,Sporting,500,37,95
English Springer Spaniel,Sporting,750,13,27
Field Spaniel,Sporting,900,34,145
Finnish Spitz,Non Sporting,600,43,177
Flat-coated Retriever,Sporting,1100,18,96
Fox Terrier,Terrier,850,40,122
Foxhound,Hound,500,46,187
French Bulldog,Non Sporting,3000,58,4
German Shepherd Dog,Herding,1400,3,2
German Shorthaired Pointer,Working,700,17,10
German Wirehaired Pointer,Sporting,800,44,62
Giant Schnauzer,Working,1250,28,80
Golden Retriever,Sporting,1500,4,3
Gordon Setter,Sporting,900,34,104
Great Dane,Working,1000,48,14
Great Pyrenees,Working,800,64,66
Greyhound,Hound,650,46,156
Hound,Hound,500,46,187
Husky,Working,950,45,12
Ibizan Hound,Hound,1000,53,165
Irish Setter,Sporting,900,35,72
Irish Terrier,Terrier,700,53,114
Irish Water Spaniel,Sporting,900,24,164
Irish Wolfhound,Hound,1900,41,73
Italian Greyhound,Toy,900,60,74
Japanese Chin,Toy,400,62,108
Keeshond,Non Sporting,900,16,87
Kerry Blue Terrier,Terrier,550,35,129
Kuvasz,Working,1350,42,157
Labrador Retriever,Sporting,1500,7,1
Lakeland Terrier,Terrier,1500,62,138
Lhasa Apso,Non Sporting,600,68,77
Maltese,Toy,700,59,33
Manchester Terrier,Terrier,800,32,135
Mastiff,Working,1350,72,28
Miniature Pinscher,Toy,500,37,71
Mountain Dog,Working,900,22,25
Newfoundland Dog,Working,1750,34,36
Norfolk Terrier,Terrier,2250,56,128
Norwegian Elkhound,Hound,600,36,91
Norwich Terrier,Terrier,1700,38,105
Old English Sheepdog,Herding,1350,63,70
Otterhound,Hound,550,46,186
Papillon,Toy,500,8,53
Pekingese,Toy,700,73,88
Petit Basset Griffon Vendeen,Hound,1400,62,160
Pharaoh Hound,Hound,1900,37,174
Pointer,Sporting,450,43,113
Pomeranian,Toy,700,23,22
Poodle,Non Sporting,1250,2,7
Standard Poodle,Non Sporting,1250,2,7
Pug,Toy,400,57,31
Puli,Herding,1100,27,142
Retriever,Sporting,1500,4,3
Rhodesian Ridgeback,Hound,1150,52,41
Rottweiler,Working,1600,9,8
Saint Bernard,Working,1650,65,48
Saluki,Hound,700,43,123
Samoyed,Working,1350,33,57
Schipperke,Non Sporting,800,15,110
Schnauzer,Working,1350,18,90
Scottish Deerhound,Hound,1100,47,168
Scottish Terrier Scottie,Terrier,900,65,58
Sealyham Terrier,Terrier,900,56,150
Setter,Sporting,500,37,95
Shar Pei,Non Sporting,1100,51,64
Sheep Dog,Herding,1350,63,70
Shepherd,Herding,1400,3,2
Shetland Sheepdog Sheltie,Herding,900,6,24
Shih Tzu,Toy,1000,70,20
Siberian Husky,Working,950,45,12
Silky Terrier,Toy,700,37,106
Skye Terrier,Terrier,800,55,172
Smooth Fox Terrier,Terrier,850,40,122
Spaniel,Sporting,700,20,29
Staffordshire Bull Terrier,Terrier,1750,49,82
Terrier,Terrier,1050,47,42
Tibetan Spaniel,Non Sporting,900,46,121
Tibetan Terrier,Non Sporting,1600,62,101
Weimaraner,Sporting,1750,21,34
Welsh Corgi,Herding,1100,26,68
Cardigan,Herding,1100,26,68
Pembroke,Herding,1100,26,68
Welsh Springer Spaniel,Sporting,1300,31,133
Welsh Terrier,Terrier,1000,53,109
West Highland White Terrier Westie,Terrier,1050,47,42
Wheaten Terrier,Terrier,900,40,49
Whippet,Hound,1000,51,61
White German Shepherd,Herding,1400,3,2
Wire Fox Terrier,Terrier,900,51,99
Wire-haired Pointing Griffon,Sporting,700,46,65
Wirehaired Terrier,Terrier,900,51,99
Yellow Labrador Retriever,Sporting,1500,7,1
Yorkshire Terrier Yorkie,Toy,800,27,9
